i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1385795,5079587,38547,32191719,21500601,794355
2,2769208,3915141,33443,21067516,20660256,1431422
3,420370,3879672,34287,21871337,20326691,700883
4,288511,3930038,34811,22233944,20156700,680466
5,286774,3977200,35735,22972762,22129259,691513
6,279464,4617838,35376,20575830,21503653,745786
7,281475,4759494,34857,21125629,20825563,756282
8,253132,3935229,34678,21236986,20371857,1360017
9,211818,3939728,33160,23203932,20249125,685513
10,297522,3979292,35338,24800723,20638425,680989
11,290010,3901698,34903,22608591,21580243,679352
12,285186,4753953,34803,22904969,20869850,725951
13,264088,4742429,33784,22971187,20668091,756028
14,253476,3925607,34648,23035338,20381572,1360743
15,208446,3945171,26589,24044742,20265112,756688
16,295278,3981543,35670,24086809,20125488,659479
17,292735,3853837,37706,23293394,22137347,691111
18,279167,4810013,34446,22805642,20765712,740131
19,261504,4723250,34573,22985565,20591859,756640
20,245656,3917622,35334,23919487,20385214,693539
