i,sstep,lambdastep,gammastep,wstep,loss
1,245889170,178943419,3335490680,118167818,339877
2,201962271,377841309,3211149826,117510094,338726
3,344182963,541346643,3228480512,119447298,357475
4,190854810,446834537,3207942006,116491778,331500
5,183771292,443129605,3207924622,117080776,328322
