i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1914603,4673275,56263,66003113,23649604,745829
2,1528052,4596205,47481,26301228,23417812,704102
3,578625,4580777,44035,24991390,23352147,692522
4,340761,4554685,48266,25704723,23345033,1423349
5,239814,5453386,39922,23904372,23403726,691138
6,270351,5464177,39841,24751197,23545106,701178
7,289460,5243319,38868,23837177,23652911,726554
8,299476,5135115,43622,23682018,23744459,695519
9,303454,4856347,39274,23936419,24536016,700217
10,311624,4457900,46096,23461765,24448509,686813
11,350892,4596739,43873,26002945,23291725,685255
12,344895,4616440,50294,24964682,23176753,691246
