i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,247366,2184890,32714,10791149,21895595,479109
2,124478,2142924,13503,10343252,14889756,487091
3,181955,2120239,13340,11480506,13160660,480547
4,178767,2094845,12932,11306232,13140950,477003
5,178970,2084857,13219,11205167,13186451,468344
6,176092,2084758,13417,11120439,13167867,460843
7,181162,2101596,13263,11079513,13232563,463554
8,182437,2112473,14267,11038267,13199838,457224
9,176349,2127906,13329,11335091,13210011,454993
10,176884,2125340,13964,10983160,13241631,447268
11,176917,2124366,14104,11109902,13316021,444643
12,177394,2133713,13514,10953559,13321570,444604
13,183779,2114569,13545,10957246,13331688,443458
14,184537,2134521,14141,10919125,13493527,444296
15,184150,2146999,14478,10918203,13474031,440248
16,187566,2140002,14945,10920366,13512930,439929
