i,sstep,lambdastep,gammastep,wstep,loss
1,182405,17695910744,840252649,3556094,55134
2,182684,22479498,261822908,3672649,49096
3,187388,27394552,314392535,3546160,52384
4,156429,25892817,256420608,3386510,80877
5,162678,25664731,260276177,3572765,49938
6,172407,26086930,269528312,3979035,40179
7,192620,26268498,320328822,3559284,36285
8,153720,28001654,260308290,3648076,38727
9,151734,26405818,251407373,3234233,56162
10,176457,25894247,330956725,3592506,41502
11,153999,27497452,258575049,3247674,55302
12,151925,26072542,248470664,3582519,37078
13,147961,27177240,256872248,3347887,39720
14,150883,25323423,319529892,3561353,46211
15,151159,30151576,259703363,3234359,41056
16,148306,24919253,255569610,3561478,60396
17,147277,25194448,332389381,3240671,43451
18,175864,25819252,257871510,3580194,62325
19,145895,25892801,257817377,3225034,39261
20,147486,25008947,255225034,3567296,40165
21,146750,25816313,333424880,3255768,41285
22,164334,25185315,258411856,3594658,46459
23,147944,25770708,257386026,3236413,57788
24,153484,25453081,330011243,3569060,46056
25,151603,26020566,258111159,3244683,56260
26,155944,24793394,256322472,3566184,35702
27,148872,26001988,256465438,3219676,37088
28,145050,24346724,327934745,3587730,35918
29,154133,26437100,258307591,3226054,40577
30,152623,26069713,256254433,3582615,54431
31,146109,26101364,331598948,3274987,40167
32,148228,25824275,256833462,3573752,50625
33,147690,26332316,257927894,3218152,34117
34,152302,25929580,255570733,3560450,34303
35,146598,26072252,329619613,3260789,34529
36,149522,25973576,257786068,3575264,33624
37,143887,26472760,257461923,3204424,49697
38,150051,25701481,332041115,3635168,45746
39,147598,26509266,258544575,3245924,52140
40,149174,26028067,259418966,3673348,42469
41,142607,26478568,258830329,3221365,34778
42,178021,26150672,330756710,3606107,39306
43,149052,26457896,259207980,3253641,35434
44,163213,25985569,257066695,3582378,54943
45,152276,26183670,257464847,76551335,40182
46,156160,26299453,257815203,3584087,54703
47,151698,26512244,258559526,3253780,40255
48,152439,25875261,256744900,3541166,37382
49,147037,26126804,328737210,3267069,40170
50,158244,26275234,258143214,3573732,37197
51,147015,26569272,258296075,3242953,61992
52,145752,25708316,255459071,3558110,44323
53,151899,100348297,259698245,3258116,55099
54,157699,26155638,258323219,3578794,47883
55,141630,26346666,257029002,3260638,37227
56,147961,25657181,328735879,3580533,37673
57,150944,26387131,258865434,3249291,40400
58,152747,26144022,258911705,3554522,57914
59,144720,26252167,256222181,3202242,43022
60,146064,97639279,257644059,3558997,58283
61,153656,26452266,258837290,3278751,48847
62,156311,26228953,256256654,3560520,37887
63,147185,26314550,330930885,3250157,39030
64,153212,25776110,256647001,3545462,40531
65,149133,26274010,258079110,3226341,62622
66,152100,26072856,255255260,3548007,46386
67,149366,26210329,330328006,3248426,47481
68,154702,25850151,257500872,3579675,51633
69,153996,26405580,257119936,3238653,39012
70,144343,25703919,331767774,3570938,37318
71,154230,26756347,259026394,3233485,33703
72,148089,25910477,257489782,3563641,49754
73,152149,26154011,256806449,3241495,41818
74,148215,25552449,329150367,3555588,45385
75,177469,26798495,258757643,3227916,48173
76,150706,26121379,256324116,3545767,33780
77,147935,26069882,331459998,3277085,39103
78,149739,25862489,256918164,3537433,34099
79,175932,26607926,257479064,3242395,47221
80,147060,25964854,256011434,3564585,53234
81,169062,25919478,331211838,3294799,39629
82,155277,26382612,258793097,3584023,45305
83,155378,26840984,257535406,3208428,39445
84,147407,25598210,330222447,3598036,38258
85,151922,26373244,258619262,3231528,34426
86,150006,25771700,257217968,3594349,44413
87,150119,26521606,257717493,3230196,47234
88,147618,25491397,327203486,3605144,41471
89,149359,26694306,259064872,3247138,52690
90,150419,26142585,256936896,3525758,35238
91,147776,26303069,256003983,76163095,36370
92,148875,26231162,258138028,3599682,36659
93,146306,26423859,258388911,3260121,44717
94,145430,26644130,256038870,3572720,46457
95,150279,26361868,328368036,3257623,41231
96,148995,26086187,257334691,3582640,60705
97,151210,26583384,258379793,3261790,36856
98,145334,25692366,255410535,3542653,42524
99,152737,100137049,259074141,3277381,39529
100,152601,26020150,258341135,3588505,40008
