i,sstep,lambdastep,gammastep,wstep,loss
1,1282141,21900509,331190054,3233320,74791
2,866389,82366243,393430692,579790936,108311
3,1076006,179896137,335177997,1200386979,62574
4,3493840,143832216,352967301,3308581,66716
5,693832,39671913,371911660,3631952,58439
6,689159,182348091,378570029,3630123,76138
7,869983,86402421,372376300,3322645,62371
8,687250,115575741,383784587,3637986,67178
9,674019,87143759,386103177,3298849,58342
10,865522,66409764,375885338,3653152,60136
11,685233,73803145,386513365,3624893,65561
12,690776,109409259,373152998,3661683,54784
13,870096,86118233,385339850,3660745,56349
14,35958720,33126717,355910512,3671096,66301
15,685148,31838804,373245427,3314594,61487
16,859781,102372315,373682701,3306216,54222
17,683484,41640027,405223865,3359265,61429
18,689769,114496461,388160873,3635938,66123
19,759315,100723871,384632588,3614063,58643
20,693862,82770161,390965842,3306231,58334
21,700327,68102277,357426524,3342880,65669
22,768033,48030383,372279542,3305766,75339
23,682885,98448956,376369523,3292413,54218
24,684055,43296989,368039048,3675270,57555
25,892811,130757918,387969646,3701293,118940
26,705751,44180415,370882707,3694760,101044
27,682402,75618131,363343763,3652867,52875
28,859550,82271828,409048620,3645067,63780
29,692536,33057330,363708374,3650879,65641
30,691838,85945374,386166998,3633870,55297
31,855103,43976375,368139748,3655692,57056
32,683190,118137082,376274426,3632563,63134
33,689824,43700395,362167006,3638089,65486
34,826495,90079821,389804468,3640481,55147
35,671834,43475006,332095331,1978711776,74235
36,3191273,143172142,341449747,3356964,66053
37,699161,41809780,368914425,3656544,57421
38,695731,41423288,362153662,3626195,59514
39,764373,148033688,374907083,3673862,69449
40,691069,77079240,373262440,3326207,68619
41,695814,104199364,374664129,3316961,54429
42,757130,88664302,408371706,3652355,62494
43,697476,30601302,374579282,3666927,78156
44,715608,104424622,375284592,3303548,51264
45,759101,32868413,371875651,3314579,55301
46,684130,153582001,376325698,3307367,73595
47,690306,83700836,372613465,3631286,64895
48,894798,90751516,386714938,3378165,52303
49,694330,32689027,353399543,3618273,54965
50,690445,89087299,373728195,3652907,64729
51,763252,99969799,388346814,3644030,67160
52,691094,94040605,371942663,3629196,53618
53,699577,79687812,421599263,3351478,64669
54,768367,99667947,383070087,3656309,63987
55,694512,112853037,386716814,3636497,55645
56,693754,95828468,384031977,3353310,55753
57,881799,125219020,375684482,3640783,63556
58,692132,84521278,371943018,3367366,66624
59,683744,90596762,388532261,3635835,53700
60,736427,83573096,385164046,3636337,54358
61,677254,125364000,390867056,3636115,61764
62,675710,82560116,371673906,3658090,63216
63,766187,86129774,388239590,3651926,54306
64,673313,80432599,408956161,3663084,66442
65,678479,87046204,388327820,3637871,74126
66,844690,86112702,372475862,3644344,55495
67,688297,87269518,387410900,3644450,54466
68,674209,116285682,374248772,3655378,61862
69,846385,86985719,385747731,3631534,65213
70,695376,87003208,383228090,3669085,54711
71,689520,90667077,387441709,3656697,56727
72,743234,119428156,374317670,3654645,65722
73,695659,89453036,385831055,3657836,63814
74,688349,83489391,384397617,3617303,56321
75,876825,90833842,422536830,3681292,62582
76,662247,84159373,374596936,3638723,64152
77,680533,87556298,386310809,3659902,52560
78,736665,85963778,383392709,3637565,54920
79,681218,119407968,391004960,3639101,73585
80,666133,83745138,374039464,3623374,65639
81,768880,87490509,385889661,3650914,56112
82,668106,83010278,383043462,3607351,56396
83,696690,123795744,389287242,3649084,65475
84,758534,86938042,373553277,3649798,64621
85,689234,87558352,385961893,3643704,54849
86,683716,85655957,419075557,3678836,63207
87,866566,89676856,394270449,3640795,65254
88,666361,85510451,371537630,3623354,51418
89,692309,90671233,386258020,3618422,53345
90,844384,116203721,387115013,3664453,63142
91,685677,88801377,387322503,3651385,68388
92,669325,84043526,375013597,3635643,52919
93,893216,90653836,386079124,3635673,54156
94,681265,119795820,385271831,3648207,63343
95,678507,88357856,387699179,3635661,63296
96,816467,87095412,374215005,3625860,57469
97,693545,86677268,421250986,3660359,72927
98,667206,83371782,384101251,3636994,65776
99,684145,89047619,386666365,3649345,56293
100,844818,86054465,372012803,3632910,57074
