i,sstep,lambdastep,gammastep,wstep,loss
1,593827508,192268709,850196797,456127792,88689
2,390506018,434017743,935052879,1001441838,112727
3,165195869,678425430,789998391,3685253,95461
4,175042066,307523008,854398936,3988950,86265
5,207400553,323315614,856367619,3814223,84821
6,187475130,582863042,1002217372,4015766,98316
7,186292933,1004371494,882161274,3690861,86003
8,180438832,392256566,907941555,4012781,90420
9,196079537,401803427,906697141,3767967,85664
10,216195067,406279723,905181361,3988089,79678
