i,sstep,lambdastep,gammastep,wstep,loss
1,233456383,179861826,796505362,577426780,78726
2,371779247,397920259,686501236,1070069875,82538
3,195862410,534691349,704898502,3596352,78057
4,199823535,259295995,750276514,3557338,86537
5,362335879,261395615,765072141,3241508,77322
6,148491772,606944318,844213197,3569243,78630
7,193911298,601952295,814565125,3632299,81006
8,176491450,656371425,829886685,3753450,72533
9,171627370,385974752,789994050,3565708,76293
10,165175725,376364560,801881183,3607713,90309
