i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,24356,15212302,36162,25087898,34974393539,39677639
2,174113,126583902,26687,25117764,56388569588,85650732
3,64914,116414197,51363,23784331,33814029793,73407285
4,34040,126060496,28354,24563512,56468925873,88711657
5,51662,130069803,32193,27626689,34708478127,61712770
6,56850,121830417,32123,24663921,57471838857,85617922
7,50959,44141584,40933,90262014,57069481789,37807356
8,61598,128244120,33068,28993071,57080238101,85792837
9,53692,144204622,32315,27180800,57231050960,85691562
10,57820,128181703,29308,28846843,57227855113,85840297
