i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,53949,93644961,29778,36287171,39984792341,83901711
2,441666,132349652,39285,34489575,42320904779,60489241
3,60906,140872977,28825,35604726,38961755043,182788026
4,47369,135783451,29061,39015483,40645551716,130190874
5,58138,46201222,29750,34015184,41962568711,166938049
6,60183,60766864,29522,34509833,41890423907,77108466
7,81293,133031907,41405,38561905,42592576931,85502462
8,60920,117894786,50102,41226477,38746455479,60859481
9,64353,117512383,46141,37024134,41497798500,91666209
10,57944,99075100,33883,35042805,38426289887,149468578
11,58994,66557506,28999,34714228,38533421362,85646673
