i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,72702,116452025,34845,56651163,45469888608,194495385
2,367876,59870221,41454,52271459,46486231793,66894287
3,79742,163295444,38423,51040796,47965714388,190919872
4,67369,46537319,34736,56923192,48645041082,63166044
5,78920,157687960,39634,47641018,47615077789,109736143
6,89584,146592091,33914,55369493,47201185941,233830600
7,67611,154441361,35439,59439645,46866229232,85619132
8,89962,136086391,46491,42438716,48075614011,151849963
9,78158,93545658,36900,54003244,46856903140,85627005
10,76895,155008681,36126,51435035,48125038240,85700610
