i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,38534,56529049,38894,69779248,48050673851,85763638
2,15394898,147656028,38074,57933105,49655094011,64166364
3,71691,168880336,37027,60649446,48446373488,85840068
4,92523,175881120,40335,63656614,49556642186,75109269
5,85346,158019729,49112,62095827,52722685044,79893152
6,92212,153449386,39103,57921377,49348778790,86471076
7,85158,161447449,37833,64421707,48888258901,86482589
8,90658,161177221,37565,61150968,48964906038,85689270
9,66973,172455799,36166,51210247,49304336968,64874165
10,86643,169141463,37962,63194933,50362972938,33527163
11,64633,169427981,38409,61058372,49429956600,85741697
