i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,21178,8028220,17769,93113759,30018089148,14737981
2,61475,7730592,20004,120495161,28992083773,77317947
3,10480571,7649457,17229,79880039,31163682358,28338999
4,26292,36333650,18767,91291006,28383724889,179179716
5,29037,29639947,11951,7188599,28141952363,68364739
6,31119,8111339,21596,94366300,28070990897,196653067
7,31679,9308162,21144,6784567,31319568500,19650791
8,26909,86453437,18164,39960164,31669561120,85332599
9,25319,85923511,16394,40306536,31315308756,38069302
10,20515,7736554,17348,119804698,31841841333,30247797
11,19773,7715322,20012,119034724,30909950402,215286023
12,21157,95391405,20932,27436845,30921176915,39076002
13,19917,7825559,18762,116054454,30305823133,85302606
14,25743,26350641,19770,12926193,30225847951,49955712
15,36016,8165867,22996,120361401,27077470211,28896724
16,21045,121305772,17479,6710732,27416137042,166227798
