i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,13481,8748975,16499,4450377,35334039628,1921639
2,57863,81105380,13351,40971342,35171505492,61553960
3,35722,118446728,19343,9709386,45141197918,1544110
4,17817,8366957,16038,30073014,39948749523,183567877
5,32147,6748917,14019,10645396,40397966012,73750582
6,18856,11596017,18075,45231028,35431677721,136181115
7,36183,26829970,20835,24404420,39155519830,178401858
8,19362,18085947,18284,12367228,39759261426,1539191
9,34470,17739432,19862,21307274,35112703215,35304496
10,18927,68536319,14430,56302366,35511594330,85378717
