i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,30807,26313695,37971,39165231,94023399779,213070922
2,399755,144923333,35103,45170474,67683312874,159450144
3,65281,56772281,46342,42682483,67192473218,96949753
4,76316,124784922,35362,44709182,67163252443,207669342
5,65407,34532160,37129,40750087,66548471862,19152464
6,47766,146554146,36236,44937325,53888164093,63085129
7,59319,134584834,39536,41359656,45088714740,61083235
8,50320,144478900,32694,27989357,45009295860,85561017
9,76854,104947921,57696,35253397,44925801387,85637019
10,65404,38518810,45218,110125175,44799961395,17406954
11,69890,140851276,40902,27137706,44542389389,130743477
12,62384,130742436,34119,36082606,44695628980,207655016
