i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,17160,8271859,16516,15340890,29232179883,85286221
2,230855,8415385,18565,21401418,51994712903,85604768
3,60086,130226533,18507,7694363,30210387255,48268231
4,42408,111183997,25122,12661834,52218291889,74426101
5,30727,101612502,25720,25741407,29466073666,85556445
6,36482,11420408,17644,77705277,52099248552,81485456
7,48873,113181027,25405,15712595,29467455155,85406878
8,48693,121739018,14791,9009923,29107643776,55679153
9,30551,13502056,17985,109872554,52007217730,85373439
10,29833,18105285,18878,87791056,28884340563,72695249
11,37464,9685248,18182,101302545,28812319864,73463206
