i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,23142,17752015,37455,24631595,38906869541,74547732
2,292606,120640223,49558,24544747,40086267601,147350780
3,42958,61471957,25511,20235084,59468764006,68874833
4,37724,144059879,25376,34748587,40946214149,65779195
5,52800,121367385,34403,17007561,58803645470,81645835
6,43469,140334212,32636,25879047,36429641186,185923019
7,52724,39656817,34180,29317822,34945878464,61440822
8,35653,113552643,45081,30424920,36805094835,85458392
9,47173,121391724,28428,25508547,36053915841,207641324
