i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,19110,16796455,22859,15720025,40972697365,169672447
2,163543,20369764,13122,16067268,41265844058,59106725
3,30111,125816498,14320,19398501,40914270144,189394388
4,34387,8136622,18486,15880992,34737705725,146960527
5,34035,13668132,12431,9900177,30350302034,85589930
6,47003,39113813,26228,17155745,53511075587,85363655
7,27695,110083053,23495,20887731,52400005264,33523518
8,53527,128546728,21352,10183954,30495836876,85299570
9,24121,81573301,21649,15996951,52869791299,167946057
10,28265,21925044,23844,25249872,30343348130,85744843
11,36148,25788076,23062,96874597,53634155189,207479969
12,37630,11404375,17391,14355958,53121104702,85389703
13,40191,126106139,16504,10798366,53428981623,86062766
14,53921,138258992,22743,9640138,54009558097,85998871
