i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,28172,24547001,23728,21399129,52284362681,85257565
2,115948,121861453,15929,10141397,52694203419,85506811
3,51324,110106927,35685,21556964,28786651213,85687802
4,30111,14125803,30033,36174160,29520801400,85608387
5,29545,14368045,22811,37365829,30370807147,85329958
6,29811,24377295,25044,93990395,44046716468,85415381
7,30103,111041217,26479,19878842,29559890721,58367366
8,38683,120756057,22849,15191882,52397017671,85795273
9,42048,123469506,19762,15760160,53551427609,74645688
10,20355,85994128,24450,31655145,31037121689,27922204
11,23837,121989923,15158,15004507,69314906819,2969086
