i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,15691,6863887,14763,14904997,52732862032,88257899
2,315548,36604790,33189,90753176,50961661230,210661173
3,24013,13940037,14022,13033299,30106309750,85339717
4,28695,12953503,21731,28441990,51905386797,58522561
5,41589,121065667,24221,13277130,53672356700,85353726
6,29790,119077892,23995,14143302,51386003513,59806227
7,20824,114664378,22557,12573723,53042129444,85564640
8,54341,98429432,33611,18566142,52551855612,176011415
9,28520,36329757,14177,13417436,28929328146,85465162
10,28110,15690406,21453,14808833,29161439401,58954299
11,28452,63549981,29343,68565388,51621126122,207387612
12,41582,24148374,26520,9358545,52921679199,2028365
