i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,33485,34445402,34880,34057217,45171898535,59837671
2,538862,158037036,33202,46702556,44642236584,84919359
3,68235,130568538,33870,36908257,43760942880,66695870
4,83179,156889294,45289,41819438,45175191863,204882802
5,80643,35824344,41175,42126212,46361036325,86106704
6,74139,153110075,38093,45342430,44071481875,85494211
7,54740,141977013,35972,47253508,49102448768,67475815
8,72512,132557940,31818,39503948,45420642894,106013733
9,54288,140817811,36967,35504197,45052169047,85581089
10,73272,161317484,48088,43992884,44312879790,65725075
