i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,83368,96238139,50306,59214807,56830008244,85719332
2,673398,155633450,48667,70046755,57256482935,170285338
3,104068,79507543,48168,82803699,57566348238,85706214
4,84844,167714847,41721,91489963,56430941330,204075477
5,311808,68945811,54722,81905666,55749650003,227004959
6,9976606,45078787,80758,67823296,55965781925,208160993
7,84438,66898848,57615,66184101,56041640784,66970434
8,92798,170175759,53046,66248822,55261022149,20913453
9,65936,173416757,48112,82198973,56535703689,66908418
10,109359,167873754,53216,79196618,56032847831,85938342
