i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,15355,7922414,15390,10021841,38152054302,70638403
2,33828,5450276,14869,90564890,35671153795,70403124
3,34320,91496816,19489,8876992,35513246849,85369794
4,16415,9552849,15307,112731861,35882398349,77016388
5,18499,24853230,13816,63643166,35816885243,85411178
6,43177,27475872,19558,91417349,35407983167,85331927
7,17365,8638819,16651,21815532,34168647861,204869228
8,11742991,10100804,20347,105472991,36089755318,10597988
9,17870,6073298,13391,119818678,34680892693,207348059
10,16276,3402053,9502,6744886,35596566403,85278755
11,40654,10278375,20369,44408964,35882835764,85438084
