i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,19148,10611678,18921,13851064,28315261718,55975777
2,100794,15065441,20438,104278210,28081958231,12397032
3,22765,8514438,20736,121270876,30657504491,62635292
4,25559,121398105,14505,9577155,50290709997,85325619
5,48913,115838612,29467,22899425,27218459448,44989779
6,25585,29503933,20378,98366733,27904190309,85577774
7,25494,11304002,19293,25343165,27635744857,85324826
8,25942,11162009,20817,26952168,50242018468,179408268
9,22174,8834223,28125,26308612,52165224786,59939208
10,47594,35578569,33732,93821366,50462470058,85400508
11,25173,23680841,19562,104829465,51167194971,36131903
