i,sstep,lambdastep,gammastep,wstep,loss
1,404211,50651210,412652745,4118150,53152
2,697604,202613979,454087566,4147755,63398
3,848829,206252023,431904379,6369707,55711
4,694419,26671109792,447845825,3796841,81109
5,921612,86981082,422821534,3709534,57414
6,704375,111429074,451722358,4084502,55274
7,910666,71849973,422331568,3732596,55229
8,710562,31587037,424755147,3738101,54501
9,692945,80713152,437859691,4290239,52126
10,877283,33987910,402963982,3732142,52588
11,692877,96820442,423545364,3756123,55418
12,700230,33723951,402387411,4164273,56959
13,912802,56524252,423336365,4143061,53492
14,697488,89314386,439720934,4256333,56699
