i,sstep,lambdastep,gammastep,wstep,loss
1,348689727,156813862,479698718,4221187,67076
2,227752294,488928551,526112587,3450938,68771
3,170828319,254887702,529038896,808445085,74318
4,224691541,364887583,457103969,589924331,71215
5,239136287,363594838,469832947,3971052,69699
6,182941469,198020777,499133717,3977172,74048
7,401454409,367404012,535249532,4166215,66464
8,219184312,219633188,512510303,3744975,68645
9,217938426,201501144,513262055,3630330,69438
10,277259019,221004519,513292021,3965237,69840
11,432066067,240667865,515215964,3831924,67338
12,218426798,221854362,517656443,3670091,72111
13,320283050,213583864,513486787,3780738,74830
14,185837433,212926195,513104788,3657696,69346
15,174576690,232733275,514291384,3828666,67432
