i,sstep,lambdastep,gammastep,wstep,loss
1,461927,30469986,411327428,3989871,61783
2,1036626,195688799,458825980,3751593,62354
3,789583,88841022,418187190,4103608,61102
4,996421,91006470,436340897,4171107,56272
5,833143,119005255,437325960,4206756,58566
6,995360,97966880,437549680,4173539,65752
7,794951,94977904,439068543,4132172,73665
8,1000139,98321897,436687763,4127961,66192
9,829098,94415747,438470468,4138701,57519
10,1012046,99180979,437768762,4142825,59210
11,776693,120368257,436059442,4179114,57323
12,995097,98884486,437580231,4220787,79767
13,798688,94075664,435793053,4128907,64397
14,991820,97875186,436405239,4102393,61088
