i,sstep,lambdastep,gammastep,wstep,loss
1,10234841,65294671,615499111,3613411,62587
2,162883985,400501650,579355679,3811923,70033
3,216877893,253135866,551555774,3826954,71508
4,142273256,280261372,592802511,3796993,72303
5,60306633,287091830,590183457,3816229,79670
6,12388634,255357629,592459028,3820425,68783
7,188425570,297997572,593139845,3914910,89516
8,182008526,299589805,591061745,3823993,67816
9,183039991,296662574,586575228,3816143,67844
10,197618549,297422944,586760152,3842753,68291
11,183169177,299969000,585891581,3869465,68665
12,176576535,297030582,595215713,3837945,67248
13,132060390,297201049,584530995,3865364,70015
