i,sstep,lambdastep,gammastep,wstep,loss
1,172722303,162748255,967540383,4801730,103524
2,28297653,404073976,916441869,4812766,90472
3,190598504,239340662,903595463,4628653,91801
4,28639018,235016243,906480919,4276482,94392
5,170928110,247798077,914097116,4789972,88560
6,215286811,231350933,905545837,4606734,90693
7,182407814,250406097,906721337,4646337,92443
8,234973037,247866087,909902964,4364137,91896
9,187085108,232924094,903377481,4191888,99895
10,165522344,259526018,901246571,4605969,91247
11,202555678,257119249,906312706,5119010,92876
12,186282111,231942432,923849183,4816694,89091
13,250417735,231484332,903165419,4286397,106614
14,196678037,261097525,906500631,5105394,96036
15,194041064,245568532,912259648,4754577,90312
