i,sstep,lambdastep,gammastep,wstep,loss
1,214233,30240854,318759099,4139800,48080
2,323138,75968642,338633970,3828179,52291
3,323107,78297145,350511712,3502990,46160
4,363495,64351611,350346993,3499097,44705
5,332409,69181544,336698352,4019666,46138
6,318708,59089612,329113282,3370744,43217
7,323795,111667800,316961148,3714034,51478
8,319875,91537712,323152863,3353310,45945
9,314324,112935978,331516452,3727817,45101
10,342199,56770362,350874763,3353386,46920
11,327407,71314633,349971792,3713914,46404
