i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,326178,120029,8853,1527330,171301,94529
2,191484,110462,6452,1469143,160444,63246
3,39291,118128,6139,1422486,182925,65855
4,20519,244850,6031,1469738,171923,115970
5,19391,261770,6109,1854083,203078,116298
6,17765,242054,5318,1921846,172641,120633
7,19130,11773500,10202,1824435,201997,333935
8,18060,115942,6889,1447587,147653,59450
9,17964,106732,6847,1458603,144298,58542
10,53348,108535,5721,1327838,146584,59251
11,36070,104647,10887,1441783,145557,60822
12,17787,105790,5687,1690669,150390,60693
13,17750,104559,6114,1361392,147150,59945
14,17616,114694,6013,1348542,149274,63528
