i,sstep,lambdastep,gammastep,wstep,loss
1,361603496,165696896,1028961870,5949498,80979
2,389693802,1341217976,1071913962,3950099,86516
3,212846302,467931147,1057632825,304578452,88529
4,29371300,694276026,987242471,4086063,88338
5,210647985,309361441,1043072396,4084794,88343
6,228592414,1013852601,1025574695,4646306,83459
7,426127322,239168289,1053650781,4359510,78891
8,197963157,446208118,1051794852,4475447,94151
9,195810944,410784691,1053494651,4041975,84495
10,271227903,397988102,1060016302,4646117,84468
11,182492227,381286340,1046318548,4007983,83462
12,192644993,407897667,1057745215,4150998,81434
