i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,110614,1051831,7071,11396889,45453,399662
2,117821,1058564,5916,11036472,40765,333916
3,78645,1091800,9283,9123508,26880,1381983
4,77153,1031269,6023,8773825,25616,303731
5,78922,1838721,6107,8931404,25620,304780
6,78783,1911607,5759,8603032,25226,303034
7,108995,1025514,6146,9408941,23440,300497
8,106775,1001184,5784,9930109,25564,309578
9,106158,1007331,5246,9528813,24128,308496
10,106459,1007103,5756,9913022,23623,302116
11,106441,996557,5805,9355875,24695,300732
12,105585,990518,5668,9833529,25894,300720
13,106779,1012436,5914,9545247,25013,303593
14,106358,999453,6161,10207196,26021,299373
15,106035,1008120,5818,9386458,23085,301880
16,106270,1007560,6127,9814973,26291,301133
17,106270,1015599,5756,9365333,23773,299976
18,112579,1013076,6283,10070937,24510,301382
19,105578,1009250,5823,9380717,25657,303966
20,106421,1012196,5997,9914009,24453,297508
21,117120,1031336,6579,9761476,25562,333810
22,106480,1035056,5806,9902199,23691,297608
23,85907,1020040,7727,9090951,41273,1089362
24,79157,1011110,6280,8718498,24260,316612
25,78077,1936892,5665,8632651,25533,312073
26,79041,1876709,6045,9064515,26722,298770
27,110270,1049567,5949,9627083,22263,300161
28,105729,1024287,6214,9403422,24654,301923
29,108073,1021288,6121,9861809,26078,317687
30,111563,1029212,7782,9299866,41691,301770
31,113561,1011007,7812,9803863,43428,299508
32,111808,1029401,5811,9491935,25698,299166
33,114318,1024159,7790,9945407,42895,300998
34,115635,1027160,5581,10053576,26146,300040
35,113716,1028622,7713,10091389,41845,323121
36,106527,1031449,6303,9406532,24970,309339
37,106725,1033367,5955,10210649,26306,299915
38,108473,1037608,5798,9404984,26511,297533
39,107743,1020737,5728,10253400,26401,300340
40,105679,1028112,6128,9374617,22795,295557
41,112235,1016653,5980,10323356,24733,295321
42,106253,1018100,5731,9773395,25699,296321
43,78134,1017448,9225,8726796,25261,1241399
44,78528,1026385,5943,8665088,24554,304870
45,78157,1887305,6016,9363258,22890,303640
46,78634,1994904,5677,8527625,23631,300082
47,108530,1055044,5917,9400967,26329,299421
48,113066,1029363,5960,10105814,24598,300451
49,107295,1038704,5554,9398101,25491,308299
50,107733,1022068,6312,9955803,26216,302748
51,106271,1041696,6132,9359158,23702,300709
52,107171,1026892,6126,10074615,25199,308502
53,108057,1038422,5644,9375329,23895,309216
54,108847,1025041,6450,9934283,24682,302589
55,106610,1037323,5686,9427162,24185,300210
56,106995,1012183,5991,10029206,25317,314713
57,110895,1040432,6323,9653523,25953,302143
58,107138,1029641,6046,9927133,27980,300448
59,107219,1037587,5684,9388726,24287,298356
60,112118,1032121,5981,10023003,25449,297212
61,105685,1039602,5837,9614957,23615,293594
62,105531,1027417,6692,9997860,28704,307379
63,80905,1106200,6028,8956566,28000,1116693
64,78321,1033512,6424,8717513,24401,301695
65,86247,1989839,7800,9022342,42394,309971
66,79269,1905751,5524,8959199,25004,301734
67,109144,1059890,5637,9570491,23203,302604
68,107516,1035014,5707,9753480,25345,306793
69,107035,1037392,5250,9979945,26679,300324
70,106961,1031451,6190,9610346,25499,302239
71,107490,1039895,7005,10006214,23942,310173
72,107271,1042566,5765,9406366,24195,308016
73,107478,1039328,5720,10200612,28236,302504
74,108597,1048212,6104,9775221,30937,301960
75,108119,1036334,5644,10129677,25576,310075
76,107469,1034016,5606,9514818,28100,312249
77,106532,1031829,6522,10213009,29186,301921
78,107641,1047186,6000,9646868,26238,312890
79,106552,1039333,5512,10290368,26926,299016
80,111179,1037320,5865,9892196,25613,294126
81,106956,1023670,6383,10262743,25174,308337
82,106614,1039382,5563,9533732,26168,301577
83,79974,1031511,5545,8792656,25941,1228947
84,78913,1034022,5651,8544742,24107,303416
85,86553,1923993,5849,8616830,24547,301610
86,79522,1999677,5505,8580917,29438,303733
87,108825,1047544,6591,9599466,23973,298549
88,107059,1032670,5823,9910146,25972,312395
89,107887,1037504,5634,9512848,25461,306574
90,106975,1039206,5978,10207713,27487,313687
