i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,551528,220259209,45569,19000510109,169532275,7554536
2,80598,159460883,41087,18820600644,166592705,7075976
3,78284,154494275,41445,18888535557,165850266,7669115
4,80025,167475248,43749,18732902712,166390097,7341676
5,79232,147434566,41745,18773499659,171772539,7046848
6,103972,164251138,53935,19142230968,166348474,7096403
7,80383,159808658,42558,18842488742,166318268,7098398
8,78906,155530102,41988,18798419782,189675296,7080167
9,78742,189884433,40670,20488211713,185200263,6568701
10,79206,245846407,41621,19931826581,169507368,7829888
11,82580,243499784,44575,18946113510,167191106,7096077
12,78374,168560470,41581,18955872337,167270733,7043151
13,96060,169695375,47155,18851590082,166067126,7178846
14,78586,161608660,43170,18836483435,165376799,7086760
15,80552,147012924,53528,18859417929,169416701,7087220
16,101242,157360559,46160,19008195882,188782911,7463396
17,81340,165299656,45626,18872942189,166092118,8905158
18,88881,248866569,50471,18751943528,166933323,7174424
19,83343,158399818,41818,18655947627,166779895,7276872
20,80156,188868612,43418,18821595711,165505585,7430346
21,81614,149001751,42412,18894029725,166618560,7049814
22,85041,149961129,41376,18953062174,167240984,7127309
23,77934,216996520,41451,18964162777,166203323,7077753
24,79095,159817987,41566,19004461576,166616473,7054231
25,81481,159703394,46993,18865453907,166130296,7038717
26,92371,162076157,52763,19126663953,166836752,7157895
27,97964,172311482,52339,19811539822,167239191,7302314
28,79936,167441495,46474,18961659083,165878173,6945188
29,81082,163078820,45262,19061047253,168178334,7043673
30,98618,160390764,54279,19008651347,168079055,7415035
31,80603,161365044,46175,18819222474,166465730,7109262
32,79271,156884626,43966,18990671439,166835952,7053483
33,79294,154454895,42658,19010101776,166288651,8099611
34,80939,151357316,42416,19035716165,166225871,7101785
35,80184,149701693,41050,18876198824,167703804,7514958
36,88088,153668706,46088,19046752455,167031852,7403439
37,78731,173299124,41345,18938686324,166977992,7027638
38,79427,166997905,48067,18857781747,166638372,7152780
39,90364,159190798,44791,19034081150,167727087,7238660
40,79858,153475749,41905,19119044439,166333697,7056243
41,79845,146746544,43113,18910936784,167286824,7144346
42,105737,157678750,51870,18969793388,168086636,7106980
43,82655,165715729,45583,19123517809,166450759,7201273
44,78077,156441594,41952,18968454947,166036255,7025891
45,79282,149113345,41373,18905943920,166867727,7059171
46,79041,240870811,44720,18714340369,167096822,7096668
47,81396,240943470,52193,19227062828,167776136,7085747
48,96194,148763985,47033,19125757048,166581184,7455153
49,80021,177577808,45709,19712916903,166596911,7049784
50,100572,163582488,52904,19206208663,171505670,7254004
51,79761,149428010,46898,18834122004,167041807,7017553
52,93620,173536384,51206,19128596968,167690659,7253595
53,79720,201096887,44399,18921909615,167414703,7205080
54,80228,151084748,40458,18922194010,166112904,7116780
55,80910,159547851,43853,19352990623,167031968,7040445
56,81225,151369383,56128,18904482873,187596140,7048488
57,79153,163016181,42768,19135206758,167179830,7097974
58,77691,140839973,40501,18969493430,167377966,7096710
59,89568,163628505,43362,18998444955,167413617,7148554
60,103757,243511807,56512,18695182450,195033584,7633867
61,78928,207465493,41292,18961359175,165867379,7192189
62,93215,310678297,52954,18903288447,166252759,7177906
63,82077,164396966,46348,19333707797,165817746,7164708
64,80091,159083140,41048,18922509115,166090368,7167833
65,110384,182878378,60532,18889894752,166325602,7188757
66,80215,209093424,45469,18693821385,167829838,7489396
67,78745,148999130,42134,18737799871,165778354,7064617
68,80998,204896782,46920,19233370469,165058115,7015913
69,80540,196555517,47436,18946104335,167756481,7081728
70,80475,146416922,41765,18941156639,166753994,7012644
71,89747,165238415,46836,19312015123,165152049,7067703
72,81077,228592035,41723,18720836392,167534312,7572869
73,81146,146430669,45899,18770208994,166109721,7054379
74,80229,189620204,44657,19045317713,166317065,7095554
75,90602,164811822,45903,19133312885,167883469,7184405
76,85653,214232783,46877,18869334871,177907334,7189183
77,79022,147543080,43426,19044264197,166506623,7145085
78,103020,159590532,53886,19100665426,167203282,7137484
79,80465,161584297,45527,18922866155,165438024,7454411
80,79737,169555567,41421,18880356184,166617249,7176420
81,78922,238682526,41370,19092354938,169250192,7176215
82,81132,189517802,44959,18892274323,165752195,7086544
83,78378,153496716,41614,19184187662,174695101,7257811
84,80393,164773330,51913,19203670515,188154759,7129873
85,87643,245464608,47386,19363838377,165866815,7090301
86,78388,175095352,41532,19679352357,165922584,7417710
87,80668,171915203,46708,18754190052,166139092,6998478
88,93623,244449940,44629,18943702590,167109849,7096555
89,79811,164241306,41660,19046010387,167675638,7158483
90,81187,154018238,41574,19040102072,166237850,7236301
91,103042,154320533,54210,19133701909,168172046,7220462
92,79580,232341605,41713,18838195349,165886536,7477607
93,93213,147692376,42105,18744809966,172893411,7158814
94,78617,182713649,41068,18701911245,165400733,7067942
95,78256,153093906,45840,19087811335,166964138,7063777
96,80047,215652301,47158,18944042737,167927989,7256867
97,90343,159599060,45488,19040642887,166014450,7568299
98,81163,242062186,45585,20254311705,165575593,7062768
99,78221,164368539,42117,18814906436,165715183,7096272
100,97934,237581838,46081,18846729938,167183261,7312787
