i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,230304,222584857,29798,10050443829,339069026,8637302
2,47414,131460044,32526,10037071055,337397927,8675241
3,50407,129547954,37812,10050798332,334081231,8617511
4,45672,232545908,28353,10033617642,336867448,8658518
5,47765,127563304,28194,10004874660,337884302,8601024
6,44496,133688336,29020,10014550808,334556713,8579942
7,45777,186401630,29264,10025523483,337403642,8799233
8,46233,130688988,28383,10034839024,337031046,8474788
9,45107,189307951,28665,10043725232,338456077,9118493
10,47150,131742224,32586,10041663655,337071624,8574576
11,57948,129008856,29834,10289421228,343158688,8570146
12,45571,129585888,28471,10013376002,359406431,8828325
13,45291,131701287,29529,10073005191,341006236,8829789
14,47059,124849478,29302,10010540878,337443726,8888808
15,46144,129201729,28708,10017460455,360824778,8753566
16,45282,134048533,28346,10078659800,335046641,9237199
17,46685,133349592,28631,10546842728,353144162,9461613
18,46043,191172204,28888,9985420262,343745600,8666470
19,46706,128241453,29452,10041440099,359519715,8669443
20,58578,126652602,33464,10091200054,354467563,8708075
21,46385,225602442,30803,10623843526,365053684,9466691
22,45559,126597446,29901,10622549586,370743164,9543348
23,45541,129718948,28758,10498356544,356126553,9543124
24,50118,131674495,29159,10028357845,356219282,8663936
25,46146,199389751,30392,10033064023,354450494,8528136
26,46572,133092112,31843,10038187979,337011385,8552648
27,67700,176017323,29689,10013633928,339450545,8605712
28,45550,129661727,28424,9994469787,335669613,8761928
29,62317,172531140,32826,10016802200,337599660,8698035
30,45968,131080944,30897,10005723599,352420912,8532357
31,46394,190925519,31717,10053422260,335863200,8575582
32,49526,200723378,30272,10098128227,336933266,8592365
33,45072,229349506,28496,9990392462,341979093,8551801
34,46031,129511079,27413,10129747047,338674913,8618180
35,60411,130713384,37690,10108225003,337770919,8767144
36,45790,118068312,27304,9983051484,335887318,8860453
37,47098,127669678,28274,10049819004,356063310,8755411
38,46231,191425078,28990,9998508481,355583167,8618462
39,47740,127059637,28434,10052005734,357088287,8691404
40,52119,129400858,29399,10038895040,354605464,8626063
41,46718,132982308,28276,10105056846,337024705,8911341
42,46068,130870040,32241,10062439177,335929172,8621496
43,57017,133029436,31440,10289008709,338007409,8750498
44,46549,126245562,27807,9999639900,335885207,8859711
45,45203,128940643,29458,10031563388,342404237,8622796
46,45165,131037291,28967,10008052523,335777548,8721940
47,46186,177026806,29357,10042053533,338667377,8901008
48,61706,175826337,33073,10045496289,335421494,8577768
49,46505,137413918,32653,10025863312,340093805,8759219
50,45545,229659111,29655,9993970383,336553124,9116695
51,45758,130945054,29338,10043456244,338856937,8734037
52,47257,128910865,31444,10024930818,335292683,10472188
53,65447,127492809,35558,10072032246,338196198,8869300
54,45407,175457627,28713,9984823307,341438959,10040033
55,47590,130466797,28347,10005983821,341209228,8747791
56,50358,171056945,29030,10015503205,336494188,8602908
57,49503,128981426,34122,9997286126,335073238,8544363
58,47347,129615395,29336,10030610534,336969330,8614791
59,45217,130767016,27812,10017311340,335387824,8564069
60,45772,131767073,28921,10030273099,336020759,8576740
61,45405,130498844,29330,10026534193,334416655,8601314
62,55990,130567520,40843,10508551104,337776056,8682885
63,44916,130272093,29736,10008270111,338809117,8617687
64,44630,210129996,28654,10001600367,335380609,8638225
65,45020,130159977,28443,10029252007,361147551,8648658
66,46437,132738952,28520,10014893084,359030024,8656685
67,47671,161107659,32203,10223453363,340165460,8585818
68,44966,130590518,28643,10580582246,356320922,9455409
69,46812,128003274,29276,10069024243,337813710,8620716
70,57785,180985616,28609,10365214255,339215508,8921724
71,46731,128758882,33595,10584607155,356140009,8024581
72,44646,154450317,28627,10021971156,337252762,8580718
73,46212,132410315,28718,10013249023,356148048,8636550
74,45255,135232348,29264,10024601461,336512606,8719727
75,44878,210152707,29170,10039121862,336761188,8758977
76,47258,181910009,31830,10516969131,362250388,9421717
77,48643,184107736,36888,9994207267,336057991,8565639
78,61603,128681591,34534,10073771763,338689244,8706102
79,46016,137133899,39030,10018884492,355701981,8777959
80,46987,131064467,28791,10012123762,336006936,8549100
81,47058,128922292,29032,10052533847,338458919,8702357
82,46628,131650892,27907,10009679378,338602420,8546773
83,46555,178361532,27855,9985250169,336130682,8898063
84,64409,120883708,33332,10039041649,356792593,8752115
85,45855,198045970,28987,9992672436,336628079,8588403
86,46907,180657305,32498,10008568788,338338047,8650317
87,46852,129473344,29263,10066665558,336997480,8615172
88,44940,127502952,28305,9999590540,337170938,8553766
89,45146,132377117,29073,10036001580,341566181,27944425
90,59156,127725912,38684,10109829476,338674914,8888081
91,46351,131995013,29342,10038437149,340479309,8625901
92,47968,120568967,30408,10503883714,334647869,8518619
93,47158,222669811,29140,10043980125,337816540,8638882
94,46535,163047097,32770,10007749265,337045046,8572433
95,61464,192703606,29348,10080833659,379378822,10753574
96,47111,131965923,28582,10232710139,356584075,8905059
97,47012,130526011,37302,10553204472,358140817,9398950
98,46225,205418685,30364,9979629528,336488682,9314140
99,46351,157310140,31245,10015283319,337348476,8561800
100,46791,190882161,28775,10202228226,337301610,8698880
