i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,54126,109838081,8616,61702536,102828142,3275710
2,14462,120373496,7780,56966823,22155789,1246418
3,12757,8178585,7737,156301232,47720240,2271215
4,15027,11790849,6840,155768509,102725667,3251012
5,14822,122057369,8046,56020765,106018077,3838134
6,14671,8081188,8082,167306433,33540853,3562966
7,16611,8198519,8329,159718643,104754793,4017068
8,15057,118451293,7352,55011431,33666220,3565882
9,15456,8001249,8016,156063029,113436318,3551601
10,15719,14592019,8089,157857218,64580783,3941519
11,15538,61035895,7510,103540973,112028785,2915149
12,15169,15878275,7822,153999746,102164620,2865828
13,13931,27491248,7688,147873516,104123484,3516709
14,14958,7985394,7738,159371184,96723276,3232551
15,14289,19553139,7657,151938380,27564405,2281610
16,14841,14383598,7874,161784520,116006153,3863521
17,14921,14934429,7162,152281207,39743172,4226131
18,15508,62461200,6598,112891639,100981966,3839078
19,14754,18173584,7935,157503853,107291676,3597829
20,13711,8054189,7801,162533907,28699787,2901247
21,14974,7931482,7069,159277271,121828563,3551227
22,15243,17819746,7735,157421932,34093117,3570887
23,15313,19113390,8103,156721926,120565838,3635308
24,14916,17595390,7472,153191984,29121046,2912723
25,15469,121772100,7711,54021392,31402152,3247036
26,14490,7825757,8291,161418792,88891063,2977636
27,14082,15989625,7534,152568626,109332623,3849834
28,15082,20150283,6450,153229245,52142353,4174184
29,14716,8160002,7176,161494058,95199606,4255053
30,13428,20463532,7784,155494847,121751610,3857738
31,15085,8098028,8214,159607129,86935127,4050559
32,15396,92641871,8319,76717822,85404216,3984588
33,14268,8031466,8163,161859531,99519987,3494652
34,15709,46527920,8015,120157784,102960471,3226718
35,15075,46122866,7827,123544590,115141293,3972112
36,14557,20574771,8129,151650479,31333212,3274597
37,14202,26144036,7825,143471651,29103812,2894233
38,15234,7945885,7175,165120841,36771986,3867647
39,15071,14194669,7123,161620602,80491327,4508393
40,14199,15993079,8268,155928755,39858484,4111457
41,18576,63983245,8172,106973862,122495924,3702796
42,16862,108977604,7754,61860649,113872383,3873640
43,14782,23362837,8087,152104038,102870343,3243128
44,13778,14279839,7379,154931120,96426991,3513421
45,15031,21119256,8026,152127206,102536514,3871050
46,14628,8132097,8147,161417046,103921157,2895535
47,15101,16015229,8031,159293671,33482143,3537627
48,15139,13824301,6870,153508800,113047023,3717022
49,14949,22028930,7657,153886907,104511039,3575705
50,14952,19732924,7975,152212318,112523379,2909285
51,15392,12823925,7547,154096302,91085102,3594170
52,14984,107198089,7838,61816926,103527078,4180847
53,14736,18335947,7721,153758183,34148826,3600301
54,13116,17445567,7378,158618288,36841249,4321415
55,14957,15039942,7884,158778068,107912575,3559958
56,15040,8002051,6822,161410347,97679558,3366823
57,14028,34618712,7867,134904832,85800223,3657568
58,15838,15369196,8673,157982941,26947051,2587922
59,15480,64457042,7147,104792739,119417426,3251009
60,14493,7976192,8364,156196341,111708788,3521365
61,15187,15129836,7183,158688458,116635477,3588716
62,15212,114443160,8049,57426590,32289064,2943886
63,14430,17726436,7424,151241517,107361254,3550237
64,14005,19778139,7901,151557370,40909024,4159901
65,15096,15729534,7034,157736902,35246179,3522320
66,14723,20237811,6687,155130808,106489835,3862095
67,13630,8055080,7855,165859864,31344640,3217882
68,15252,14699228,8604,152520829,127151263,3560859
69,16631,114991760,7661,56254719,33617825,3556921
70,15000,18606175,8176,157309695,29328504,2614140
71,15313,14393466,8249,159264742,94479103,40795740
72,15207,8102289,7034,159823218,103551076,4196032
73,14418,8053294,6877,165329163,40275071,4200258
74,13047,8110900,7606,163573888,33343663,3536357
75,15259,21358640,8280,151615590,36681633,3588732
76,14810,18090901,7657,156217267,33653325,3605548
77,14640,20565418,7691,155366645,105151512,3886306
78,15881,20391683,7230,153115395,102711557,3271546
79,16004,50360265,8342,118251092,112421119,3528938
80,14371,18492562,7825,153730872,33119603,3937561
81,15133,8025495,7399,166280348,137148070,3276766
82,15435,14969588,7776,158613554,110151841,4167596
83,14799,7982944,7916,162049830,99625818,2906669
84,14009,8028853,7862,161251739,114650584,3524325
85,14996,7969686,7736,159203604,42971295,4214768
86,15160,18784022,7705,155606913,33737765,3617660
87,13787,17543113,7028,158213709,33684723,3578732
88,15235,15848129,8000,156879957,36820828,4090882
89,15229,121838895,7605,54125984,125725529,3227932
90,14950,16025914,7785,152977396,103408000,4184194
91,15356,8041308,7777,159906376,101403097,3898720
92,14628,111269554,7866,58405824,55784856,30007376
93,14992,19190292,8398,156300604,99599577,4169637
94,14115,16426317,7509,159764071,113088595,3235376
95,15306,17015598,6847,156426225,51817001,4159428
96,14730,20281961,7702,153103052,34431001,3235668
97,14578,18592584,6938,157446926,110307970,4199162
98,15220,8047522,6577,152169299,108420675,3200629
99,14993,63866506,7752,108100755,113484492,4203569
100,13976,8030199,8543,161762783,101942957,2902332
