i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,63366,118126032,17339,4627955795,407068490,8522995
2,29435,144104839,18531,4611830415,374508095,8415711
3,28754,118027945,17405,4610573819,377451827,8560824
4,29676,121295464,16740,4606777997,376561485,8441585
5,28801,127901469,16242,4604082419,377388286,8430074
6,29429,119309554,16613,4602475350,375654485,8401984
7,31644,134375451,21625,4574890006,409257687,8530881
8,29756,119550578,18644,4618873232,376964846,8465434
9,29949,119696253,18202,4611133040,377353500,8482107
10,29891,118849455,19125,4606291422,377463663,8558634
11,29244,119394331,17220,4595186650,376832654,8498833
12,33198,146676937,18813,4572113497,404919126,43187134
13,29569,117907229,18571,4607790396,376539585,8450063
14,29867,118402922,23655,4618788918,374666197,8457900
15,42336,118729651,22769,4659620560,378703308,8488705
16,30977,114191868,17755,4598685204,377143260,8377635
17,30927,118990096,17843,4601441967,409317998,8513475
18,30308,134659859,26780,4567929731,402351381,8420228
19,30810,118390664,19362,4591280779,376893260,8448977
20,33567,118288487,17835,4595559834,371316364,8409518
21,29476,118740016,17469,4592312327,375582454,8343515
22,29669,112013537,17789,4592120519,375324677,8404897
23,29643,135531079,17405,4574691881,427869698,8529943
24,29103,118158214,17197,4597029695,376958743,8456744
25,29661,118556910,17311,4592763792,376162084,8435791
26,28392,118479814,17515,4648842784,402752279,8570012
27,30908,117996882,16888,4695637036,376007291,8328311
28,31321,117832252,17373,4595875253,376193953,8620551
29,31895,140478986,19695,4563571108,406395484,8467166
30,30929,117827356,18475,4605086990,378335845,8514717
31,28543,111461961,17696,4595379737,377431959,9317638
32,29693,123599132,17973,4601825380,380573683,8433293
33,41594,111262803,17024,4600711216,377409974,8513484
34,29838,118058995,17979,4624516323,418971744,10224436
35,35176,126213564,17868,4596215799,402351063,8460052
36,29669,143622928,16817,4587935147,375939317,8456456
37,30190,118902684,18110,4592372661,374861052,8452856
38,28441,117817230,17483,4587452523,374990187,8419385
39,30168,118623455,16912,4584794349,375681180,8408901
40,31190,146767639,16965,4559156513,398031059,11540930
41,28212,159369462,21362,4585099836,374644003,8442467
42,28737,117886000,17722,4583600044,374451349,8393028
43,29563,118120734,19043,4581863216,375671407,8495707
44,30256,117765582,18491,4578353642,371983694,8375018
45,29095,117690461,17173,4580710652,375600951,8381113
46,30540,143566152,20100,4548170458,419826820,8472160
47,28244,117850110,16613,4608717640,375045558,8410692
48,29664,118363615,16983,4587947057,374980874,8478378
49,28845,117676832,18118,4591312940,375046637,8387563
50,31394,118431022,23120,4587218905,378755026,8422364
51,30897,118151692,18843,4589316991,374731568,8387456
52,30413,134675848,18138,4579901019,408568830,8497063
53,40236,118917489,24239,4663059905,380148009,8629455
54,29772,124999972,16974,4604226911,377331493,8486932
55,30060,118399091,17176,4606926131,377996562,8406411
56,28712,111780274,17461,4610063763,376768305,8467009
57,29807,111987298,16850,4609431445,380209646,8415805
58,30396,125365660,21395,4566951099,404393650,8395814
59,29944,112053867,18958,4593693713,375782028,8428027
60,32487,118797916,17637,4593446182,381419897,8551401
61,52448,121634999,19239,4629740566,374336479,8392209
62,30170,118377257,16313,4591855162,374726954,8335255
63,30027,118055005,19365,4586077131,375878272,8387822
64,31878,143592932,22798,4565785188,406090682,8419189
65,28704,118941974,16468,4594582416,378769074,8433638
66,30874,117915106,18027,4590866730,376449745,8451429
67,28539,118539937,17237,4593161611,375905515,8486690
68,30657,119998418,17821,4592887395,375018103,8447982
69,29090,117622913,18225,4590992555,374757471,8391015
70,30382,154280501,16510,4579919532,432104003,8617185
71,28074,118100131,17269,4616660461,376210978,8439936
72,37490,111679602,22015,4605242628,377652091,8526174
73,28488,112390089,16421,4599930186,376892149,8481063
74,28972,119128559,17584,4595989458,376001200,8430514
75,29188,117918094,17823,4590866877,409299617,9246635
76,30105,123674058,17243,4595938284,416981316,8533541
77,29452,141919052,16940,4570635046,403577934,8481635
78,31007,118814059,18858,4613576010,385036848,8560842
79,28839,119288293,17679,4607145248,378361943,8496742
80,29190,118114247,16730,4609690545,377784222,8561397
81,30161,117891143,18693,4597322744,373671704,8416664
82,28930,118430472,16681,4595285194,404809187,8564342
83,29428,145945419,16681,4581567525,407720280,8733537
84,30236,125921795,16952,4620009612,378714195,8470609
85,28912,118599738,17765,4616919273,379585502,8482494
86,30233,118704929,19850,4627377383,381130059,8428374
87,29404,118331213,18647,4609506538,379888778,8499262
88,30701,119674821,17157,4607829053,376986214,8439507
89,29615,147663393,17490,4589525760,420767495,11515608
90,27760,184971631,16739,4706377004,375992217,8431711
91,28623,118037412,23777,4585540779,378253932,8509108
92,29686,120228477,19251,4587321383,376020673,8399329
93,32498,111303976,18997,4583980639,378319348,8467742
94,29754,120115034,18378,4585613740,376658449,8440829
95,31160,120295193,18513,4582765533,401145240,8477360
96,29544,143257994,17752,4563616194,406867671,8461907
97,28540,118077951,16954,4603092839,375630855,8366612
98,29065,118905333,17980,4602877953,375794516,8322464
99,31870,117539105,18776,4594988354,375231382,8417046
100,38470,111040608,20531,4641356773,379200392,8501593
