i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,16058,46785795,11644,1546305880,255883395,6507469
2,17042,48604189,12961,1484359175,237655019,6540128
3,16683,44051473,11030,1509806944,266028108,6574789
4,15698,48925592,10904,1483596848,237680828,6536060
5,16737,48844169,11341,1481294822,261645201,6516996
6,17556,48749336,13501,1487123233,237531957,6481576
7,22108,48635094,13479,1480165373,236543181,9003012
8,16341,73225549,11428,1482386045,236608677,6484295
9,17831,48748153,13327,1483748371,237109650,6472885
10,17002,76279562,10940,1481181489,236367049,6495893
11,16922,48205105,11351,1479664472,236643250,6457195
12,16211,76233157,11202,1480783340,236509950,6531457
13,16958,48651643,12653,1479471805,237095352,6473754
14,17140,76911846,11533,1480295617,237862334,6483931
15,18271,48647902,11554,1480591469,236700945,6447178
16,16751,76657849,10730,1479394970,236495687,6533967
17,16843,48127650,11459,1481477668,237065378,6483663
18,16305,48091148,11390,1508160966,236611751,6480379
19,15795,48196298,11429,1479393721,237285680,6462422
20,15927,48911835,11608,1511697959,236876110,6548228
21,16437,48201912,10607,1481680934,238215967,6469619
22,16470,48582770,10822,1510077640,236854951,6519924
23,16348,48351384,11635,1483961526,236829290,6461620
24,17180,48895895,13377,1505838089,236629439,6505444
25,15956,48282625,12505,1480682152,237762118,6442133
26,16177,49094201,11743,1507075228,236540239,6507795
27,16863,48353219,11835,1481310740,236823923,6469541
28,16422,43074675,11264,1505305292,238409863,6470114
29,17358,48605497,12477,1481962350,237290026,6475020
30,16117,48433508,13141,1504400082,236657980,6491774
31,18074,48285001,13119,1484990763,238834398,6493852
32,15856,48566974,11705,1506690817,236658985,6489883
33,16345,48414813,11416,1482984036,236815877,6455532
34,15480,49014115,10458,1507409262,236470232,6458303
35,18353,48135593,12632,1483545478,237204322,6515751
36,16709,48659242,11866,1481032912,262199694,6502848
37,17403,48834805,11022,1487257861,237660617,6511589
38,16969,48142497,11247,1480831270,262832561,6460640
39,16592,48377228,11786,1482251488,236700299,6519578
40,17205,48411556,12398,1482712209,262211341,6492271
41,18172,48692781,13417,1483866773,237337955,6553669
42,16858,48558517,11865,1478942818,237229399,6727491
43,17822,78856111,11357,1482475108,237065307,6487123
44,17055,48095573,11647,1480953815,238238714,6440781
45,17233,76084724,11841,1480334810,236520456,6529334
46,22014,42357766,10908,1542534774,262343395,6474894
47,16261,131099894,11455,1512113633,262237927,6551078
48,18489,48107382,13128,1503710202,241139868,6900576
49,16476,48999845,11696,1515343309,236821547,6568963
50,16297,48188558,10741,1481849276,237299640,6558391
51,16002,48683646,10930,1513538728,236700295,6498052
52,16366,48581459,11859,1482516082,236963940,6431136
53,16385,44085726,10825,1509628943,237536347,7245372
54,17840,48326178,12850,1487368769,237130506,6527126
55,16721,48404249,11369,1506643391,236668312,6468613
56,16760,48243071,11279,1484914745,237239978,6454870
57,15981,48370658,11170,1508160776,236947465,6533741
58,16460,48266081,11144,1483616444,237055805,6458748
59,16442,48793225,11226,1508427865,236279907,6493172
60,16918,48147051,11686,1485593042,237328168,6458371
61,15386,43780956,11142,1506813153,236705209,6497310
62,16518,48237979,11730,1489672052,237112618,6488276
63,15920,48928787,10761,1505919306,236369844,6486252
64,16759,48160212,10465,1482615942,236914440,6513207
65,18112,48736313,12689,1481767154,273324816,6491168
66,16457,48388413,11374,1485238763,237778093,6550939
67,21340,48831987,12198,1480720564,270825407,6555574
68,16584,48179864,11087,1483118630,236385419,6507641
69,18228,48757498,12655,1480325919,239040512,6521457
70,16621,76192421,11170,1480466973,241893510,6543967
71,17017,48301958,11068,1481717648,237191699,6463062
72,16326,75757186,11212,1478915420,236855517,6499845
73,16564,47998143,11535,1483465433,236759227,6449228
74,16250,48431428,11733,1506181181,236135163,6444952
75,17022,48345026,12851,1481133313,236650981,6458456
76,16433,48698978,11783,1511942618,236398658,6500224
77,17099,48412473,13829,1479912137,236955488,6443447
78,16202,48636397,10907,1510083238,236283392,6475714
79,16920,48630922,11258,1482371090,237125848,6439567
80,15833,48759525,12080,1505365596,236039364,6475635
81,16473,48338039,13841,1482189450,239236133,6546804
82,20136,48546524,11867,1509341590,236921984,6499592
83,16781,48345887,11649,1483095082,236817481,6517916
84,18050,48580489,11333,1523096437,236192278,6570101
85,16019,87531242,11272,1480516058,243530777,6439271
86,16334,81262123,10878,1508729208,237876880,6480544
87,16052,48197717,12653,1486647450,237230126,6488167
88,16716,48361725,11205,1476573794,268759952,6430434
89,17422,48378227,11748,1480522279,236870983,6449698
90,17949,48450688,14034,1482887333,263224007,6581646
91,15962,48377111,11200,1482946943,236355372,6520099
92,16209,48407505,11007,1481170148,237005470,32643565
93,16716,48209559,11398,1483993546,236412057,6513085
94,16923,48431687,11779,1485432324,236778921,6455717
95,18302,90858726,13153,1480534712,238205566,6532330
96,16918,43842957,11445,1479759335,236938185,6556443
97,17619,76577920,11589,1478483841,236766181,6481750
98,16480,48105205,11548,1481291639,236891051,6478616
99,17200,48202028,12517,1506303665,237333798,6475887
100,17070,43516991,12580,1478313942,237191763,6525210
