i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,103052,206689,10640,1151768,202876,63522
2,133175,207923,4386,1142847,201974,63579
3,45338,212956,4301,1105932,199877,74934
4,14039,199988,5297,17009233,525202,67018
5,13463,198264,21044,1088390,220517,69257
6,12783,202676,4898,1079688,222997,59611
7,13359,195021,5085,1092735,235479,59802
8,12380,187169,5158,1075270,209848,59901
9,12594,217218,4480,1052766,207877,51808
10,12626,195381,4969,1013281,193634,52911
11,12465,189026,4943,1010557,198617,51148
12,12326,196284,6917,1296291,200190,50214
