i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,2970834,4619652,46260,35338735,8213622,792591
2,3555409,4294136,41017,24591983,8045459,782199
3,325625,1992018,51616,24535700,8056215,2286151
4,299244,2026119,41199,24424878,8061864,779128
5,373550,2077252,45930,25796370,8032336,819124
6,377741,2077498,49091,25811702,8050863,778557
7,371555,2070308,62506,23031489,10783480,813881
8,363706,2077727,45755,23484222,10531874,778937
9,354017,2048264,45504,23891143,9830285,773955
10,353502,2042690,45788,24051851,9687308,791976
11,360450,3496700,43181,24109560,8057538,760463
12,343869,3432644,43726,24211238,8061119,752104
