i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,56420,223967,8160,3367693,4084685,273562
2,100577,219009,7243,2654424,27276158,256049
3,48772,235092,5228,2671725,3960357,259780
4,47432,209426,4402,2921141,6543253,251475
5,46541,225608,4443,2568293,3934515,258159
6,47062,230696,4272,2588983,3898310,264054
7,84669,204057,5199,4388572,3826132,247447
8,46669,220691,4087,2559227,3849480,249190
9,46830,203731,4119,2900702,6076701,243612
10,47969,227207,4606,2509885,3826538,247197
11,47888,198053,4107,2577622,5272604,243826
12,47399,217998,3935,2508618,3856948,243089
13,48274,198031,4033,2590995,5249133,248797
14,46753,212644,3666,2501673,3865482,251908
15,48203,197844,4146,2555714,5139998,243122
16,48616,219182,3906,2491932,3792242,246457
17,48580,238306,3908,2570317,3804301,1580882
18,47377,206893,4121,2485341,3859025,236548
19,47558,223775,4001,2559754,3845557,244456
20,70539,200752,4090,3971377,3843112,238225
21,48218,214314,3813,2517828,3828538,239105
22,47704,201856,4198,2583680,5192560,242496
23,47334,216111,3853,2492950,3775568,238858
24,47783,200312,4387,2574278,5084589,246107
25,47681,217462,4151,2487813,3839385,238720
26,47322,199705,3883,2576137,5127921,243886
27,48032,215113,4003,2489975,3834834,246890
28,47020,202852,3781,2550482,5058834,238107
29,48003,220112,3974,2486890,3777105,244525
30,47473,243618,3842,2563259,3796080,263805
31,89874,203933,4085,3857180,3828442,239024
32,47173,226621,3959,2519881,3837714,244740
33,47319,201975,4440,2574184,5220455,236773
34,47798,222818,3859,2500153,3821635,241259
35,47987,202626,3920,2593556,5108326,239015
36,47405,222362,4059,2490757,3777898,238922
37,47892,198641,4167,2575633,5047841,238158
38,47316,217993,3841,2494291,3819289,237699
39,48891,205892,4067,2578096,5088730,238395
40,47612,220569,4249,2488949,3813300,238638
