i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,427743118,144156176,585969901,271076845,1049494657,262916020
2,106961,670579,26509,11267682,28938803,400625
3,102338,635599,12876,7499329,25629695,369947
4,101505,548439,10361,7423538,5707385,369142
5,124734,616993,11057,10753540,11526416,372937
6,98582,596956,8385,7106112,9237686,368630
7,97484,600151,9396,7099423,12876670,379365
8,98583,542982,9419,7020752,5669709,362886
9,119253,615660,9853,10398383,11551469,382255
10,113100,611282,9615,9834260,11019739,384945
11,98795,610613,9131,6986799,12088495,351503
12,98005,599335,8846,6946816,9805592,363447
13,103445,542270,8580,6941138,5722277,361195
14,118928,624596,11417,10530170,11792377,372960
15,98217,613074,9142,6666486,9876686,369710
16,98097,602372,8638,6932312,11907350,364895
17,99301,545547,8293,6931496,5637786,352965
18,130095,629289,11013,11206624,11506583,447722
19,115191,614934,8694,11244971,11051508,373181
20,98232,607937,10409,6942670,12894770,358327
21,98585,3344952,11961,6882595,5778699,378288
22,98518,587484,8504,6905081,5645542,355848
23,119543,609796,9560,10066667,11536172,366609
24,98549,607051,9352,6965867,10679208,354230
25,99314,605642,8713,6874973,11146807,360009
26,99451,545190,7968,6832575,5654767,368613
27,121495,618269,10503,10273656,11521179,372237
28,99642,595128,8471,6535539,8439386,365197
29,98911,606425,8830,6850067,13230653,357708
30,98311,537859,7979,6856664,5641934,3791373
31,98897,616650,9484,6771711,11615113,370830
