i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,584042,1399716,37660,34724799,8715915,638695
2,1538642,1383904,33030,17839104,11119855,640842
3,248188,1368070,33363,17400845,8507047,615769
4,257754,2835976,33851,17444084,8515370,619919
5,210258,1406378,32542,15575060,11242257,601076
6,263785,1403858,33685,16792554,8508353,2542609
7,211649,1465909,32289,15294111,10576160,609632
8,261346,1438703,32896,17568900,8524176,638340
9,258675,1457110,32316,16753388,11019687,613254
10,251609,1447533,34818,16729439,8510756,611404
11,258280,1433612,31876,17718185,10228021,603602
12,248982,1447493,33065,17772363,8410580,637031
13,261609,1486870,32924,16646053,10749404,615040
14,246132,1444812,33541,17075942,8503870,596841
15,258848,2862766,34473,17175520,8523706,582498
16,210299,1439650,32160,15579670,11121577,600863
17,281964,1438406,33410,16674394,8806060,2531926
18,210382,1466122,31974,15268424,10583536,607043
