i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,307686,27222147,40019,41309588,17522282840,93480987
2,25996689,91129654,53577,43560735,13060547795,90771407
3,24271400,104224941,39632,36476209,13130332654,94911372
4,574801,76039378,52343,67703768,13383222402,103461701
5,26146183,72613572,51296,62874229,12500974095,92026359
6,549776,53968258,45367,77237165,13121018088,89171326
7,553479,101371376,61964,61526885,12941328034,91612826
8,564759,20095220,60993,86120654,13848313503,114434992
9,17074844,76056661,61739,72609552,13810890374,116723939
10,551960,61205476,53907,84264878,13192873983,92635311
