i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,523514,63849451,39606,36053458,55607715940,91539666
2,23612137,73340380,46899,50029954,52976619500,93766068
3,39947653,90986811,49206,36303834,56577510183,91943097
4,36838832,29734025,61496,74847258,56824734544,95195369
5,3216510,104468356,39864,36794173,56021230433,95752679
6,25356081,101781835,36580,30245640,56359007704,91432179
7,31915573,93444264,56544,37762657,56135435839,85581577
8,447722,116576080,37107,30799557,56126206686,90753261
9,37855369,41658251,58998,73387397,56158214358,84563808
10,448343,128539905,38028,31079772,56001338065,97311055
11,32570867,99475084,44679,35582233,56112629067,92216276
12,28823446,87304608,61633,42836985,56121736958,88403225
13,449763,129306278,46190,35845590,55821892622,95752369
14,25214990,102606780,39161,31101709,55908853095,90295596
15,38664879,86720366,60824,38213112,60856667484,93971298
16,32464140,102548592,48686,36191631,55724022894,93407843
17,25889348,107127767,38194,31012783,55876163602,88026165
18,9848422,74739295,57577,47402070,55801264546,88632993
19,31303338,95831093,44780,34682219,55809411272,95622258
20,25967505,107628640,39145,32723157,55485066666,92796730
21,443540,128407712,43263,29815880,55655577096,97160103
22,30160302,94812707,59533,35302883,55813226198,93827721
23,447164,90553163,47919,60726648,55752075012,99765193
