i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,96872,6722770,10389,10128756,834577435,523806
2,128669,6502107,12690,9439843,836439178,425869
3,402808,6363694,11939,8888214,821119616,430887
4,120546,6661595,12439,8586598,830503086,434031
5,114598,6343135,11778,10827915,836055764,441406
6,122512,6571810,12090,9650444,849275597,436918
7,120219,6476801,12234,8770708,827507750,429323
8,124341,7304958,14152,8596750,822400318,432441
9,125149,6441721,13073,9477728,881255742,971668
10,135543,6437871,12415,8756378,854896366,426561
11,116474,6326120,11452,9650650,872110764,453497
12,127785,7055939,15084,8520757,842609582,435030
13,116820,6992496,13243,8534575,835494475,436383
14,120982,6474785,12396,8555024,828473839,431826
15,125615,6414280,11417,8700125,852199366,432422
16,118486,6796852,14095,8571454,835189814,431793
17,118980,7294642,12955,8542646,870875844,428932
18,122777,6307094,10603,9519038,869305935,425695
19,118610,6507502,11822,8955449,840037600,505820
20,134916,6357270,14352,12562217,883243443,423804
21,155679,6214918,11598,9370083,834332958,431349
