i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,121381,3054120,13121,23145856,808969404,483212
2,84302,1871528,9547,5468523,803166536,408334
3,75523,2123833,8617,5463636,852396203,397151
4,82133,1846163,9580,5361188,830493374,384030
5,77749,3374866,10006,5385117,826558798,379205
6,87822,2955189,10337,5405490,819799882,402881
7,79459,1895407,10147,5420127,814512800,390574
8,83315,3821166,10006,5509196,807033162,385647
9,85297,3095470,9326,5387914,790995182,390938
10,83767,2227932,9551,5419128,782586806,389196
11,79728,4073718,10198,5384059,764465280,389029
12,92039,4133659,11239,5417811,763290685,388799
13,87310,3124752,8587,5332860,784982344,384648
14,84098,3975320,10162,6377159,754727700,402090
15,83439,4065542,9978,6524975,752438390,387466
16,91158,4178250,11082,6388579,754558746,395390
17,86610,4055354,9879,6441352,751679113,403673
18,90638,4205367,10136,6429257,750266441,386967
19,88030,4066751,9676,6400496,762855283,391961
20,87328,4150588,9871,6338114,754852215,391715
21,82306,2246106,9909,6352294,762197913,389447
22,85184,2692173,10129,6404050,757910275,391910
23,87462,4150718,11316,6409002,767442064,401925
24,89530,4019410,9449,6279535,760560820,392534
25,87759,4098989,7954,6318381,733650677,406920
26,84794,3339267,10224,6176478,762804929,399724
27,88498,4707369,10348,5348573,707213389,388422
28,88495,4767375,9947,5460296,724384564,407797
29,86932,4980452,11535,5501242,768490341,388133
30,85004,4210890,10348,5344956,773041587,379931
31,82073,2500424,11203,5348849,751569369,393219
32,84395,2599415,11773,5391057,772331721,383756
33,86049,2496997,11646,5413728,791477109,898255
34,97910,4001962,10204,5472481,751778913,399156
35,81128,4093225,10187,5429639,746744424,409029
36,87213,4142669,10593,5422445,744208737,388620
37,81099,4095908,9996,5513432,748253183,396658
38,90101,4196863,12165,5371084,748768233,378663
39,90593,4159041,9055,5441224,746054567,398886
40,85057,4225775,11290,5429254,754707583,405707
41,79992,4072725,10453,5442433,761650966,393225
42,88078,3474754,9936,5466994,764641818,425221
43,89138,4079576,11495,7680400,749580697,385312
44,89991,4265598,10724,5529639,768197946,389871
45,81919,4047487,10132,5420699,779726093,457730
46,93724,3858741,11807,6874985,775822440,388586
47,84879,4122085,10206,5759462,785140866,398074
48,89394,4246493,10084,5492481,777161445,390738
49,87936,4182076,7702,5404987,761139936,518368
