i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,31798,143396,3644,1704227,5843970,342651
2,69576,140808,3051,1632681,6658026,241211
3,31977,133737,2852,1987232,6455430,284486
4,33412,139998,2830,1574739,3771300,238243
5,44880,131701,3396,3113761,3289176,264667
6,32325,126689,2659,1546380,11148191,256873
7,33421,141281,2813,1560170,3232814,222909
8,30552,122793,2729,1597392,4145052,246256
9,31805,140326,2829,1554676,3148785,232931
10,31567,126604,2667,1566207,4724239,238405
11,33941,142948,2586,1557387,8462262,233179
