i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,148865,442034,7661,5602956,5535910,331799
2,180982,434321,6409,7791479,5051205,321352
3,73230,441210,6913,5447290,10934309,320164
4,71417,433006,6426,5407164,7271284,311622
5,71469,394536,7296,5349715,4761977,297506
6,82777,435449,6322,7760718,5323817,318304
7,71819,437191,6225,5237248,7897129,309157
8,72405,437669,6821,5173848,10196086,318907
9,72204,2931621,8824,5232629,4778998,321640
10,73494,944184,7901,5125989,5576108,326451
11,81427,437126,6214,7561888,4792513,307665
12,72240,440558,6388,5213582,7986287,317602
13,72254,428201,6310,5136377,9137293,314631
14,71763,378416,5984,5209685,4737396,2700551
15,72335,438137,7070,5131665,5379918,319259
16,81393,436942,6768,7500973,4750834,304925
17,72472,436426,6413,5221528,9765681,301628
18,71357,433808,6695,5147415,7980543,303751
19,72914,420507,7136,5183016,4727185,333856
20,81912,445748,7129,7735854,5331166,309721
21,82341,442597,6503,7540452,4787829,304686
22,72677,440162,8101,5175422,10693936,303247
23,71948,438494,6651,5153921,6995420,304721
24,72421,398552,6464,5133672,4769599,305749
25,81461,449196,7073,7661213,5310606,320065
26,71338,441135,6406,5239564,7926258,307660
27,71886,442779,7252,5119242,10158509,300257
28,72781,2362383,8601,5145251,4712143,335509
29,72688,400220,6024,5129440,4800601,304657
30,83193,437685,6273,7771730,5332602,328892
31,71472,438390,7013,5259355,8905641,314195
32,71838,427586,7601,5146572,9092312,309895
33,71026,385872,6325,5129737,4744759,2617899
34,72684,449290,7217,5106994,5372245,315731
35,80807,439913,6604,7473884,4761529,306501
