i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,277947,909311,14715,11241908,8447392,505025
2,127541,920858,15414,10885123,8044072,477535
3,126382,865365,15023,10512556,7965866,466933
4,138642,875594,15834,12789570,5520283,467971
5,140211,871586,16309,12684424,5504388,478259
6,163406,866376,17175,12615762,5680327,481233
7,146156,869235,16834,12657403,5562356,476103
8,145100,869796,16916,12474566,5523794,456215
9,145503,880905,27067,12478774,5581282,2849719
10,134256,3280179,16377,10123515,5534968,485067
11,129216,877218,15528,10162783,7949354,467636
12,127604,856173,20551,10128317,7762533,473560
13,128198,859354,14946,10134565,7949909,480043
14,127103,883724,15547,10154292,7923597,474345
15,128212,861368,14840,10185950,7941550,468745
16,127227,858644,15850,10144555,7937269,475391
17,139962,875611,15683,12495262,5518116,478857
