i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,2720488,2092842,51033,26228221,11878163,1876782
2,516530,2051773,47391,25183312,11499215,783905
3,291332,2045550,46429,26344425,11576226,748531
4,296580,2025888,42846,26433270,11575022,758591
5,284490,2025282,42055,23704888,14274303,750305
6,287758,2051761,43724,23757699,14246873,731653
7,282456,2068362,41693,25132692,14093674,775319
8,286391,2056645,43565,25267547,14076030,754721
9,282420,2056014,43782,25285731,14007278,773811
10,285082,4351790,47569,25351544,11622623,786871
11,281175,3356915,45176,25125264,11629399,793781
12,273345,3182184,44633,25260630,11531699,757049
13,266647,2063811,44565,25188362,11634390,1815700
