i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1794475,2857973,47014,24800921,13703949,701473
2,784670,1896242,41455,23959685,14911367,1005681
3,743690,4360402,40815,26515405,10854121,703595
4,255901,2574795,41533,23328503,10852135,729982
5,505053,1856417,39326,25406354,10807654,708009
6,261900,1872919,38834,23113666,13062769,721458
7,259887,1873514,42524,23334216,13018877,680685
8,267759,4242262,55962,23283266,10852877,964210
9,259289,1885459,41538,23216542,10858341,2851814
10,243433,1886675,45142,22886493,11295330,708338
11,262570,1867661,44573,22967318,13054912,705251
12,260411,1874563,39294,23225646,13081123,686500
13,263436,4189534,40923,23295224,10845630,688518
14,265493,1900809,40174,23227410,10854541,3025769
