i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,62196,358422,6893,4116835,5394951,288474
2,57447,338142,5905,3765864,5901175,327795
3,63147,394091,6649,3944577,4394796,303299
4,76601,333714,5533,4974609,4049237,289535
5,57556,334182,5280,3881341,5151529,290000
6,59135,354130,6645,3708395,4072140,1175219
7,61532,336357,5650,3733959,4108801,278088
8,59056,336208,5763,3730318,5217260,274527
9,59506,331896,5185,3647259,5002289,274896
10,59467,352119,4859,3619335,4052118,274809
11,78003,326797,5361,4763060,4031922,277340
12,58214,339419,6106,3710006,5071970,267272
13,59040,346315,5333,3679696,4033917,282268
14,77924,334194,5697,4583727,4045815,268264
15,58439,333230,5193,3888357,5204683,280791
16,60066,319869,5069,3687318,4984914,263436
17,59288,347216,5484,3676085,4021443,283099
18,59129,346801,5520,4134261,6272275,276521
