i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,61585,302777,5611,3552459,4203676,282089
2,127604,303510,13405,4431863,4011591,260758
3,57265,305870,5176,3532027,7273730,288300
4,55363,302061,4972,3478985,4163575,266552
5,71827,290400,4863,4303959,3956578,260637
6,52729,290697,4546,3231328,4848798,252175
7,53988,295579,4505,3205850,3908802,249529
8,70908,294185,4577,4046843,3988248,247884
9,52407,282910,4733,3180550,4925255,255772
10,52332,296042,4448,3161555,3941559,254410
11,73431,284371,4620,4027557,3981951,249673
12,52107,287528,4679,3248044,4879963,252119
13,53018,289485,4379,3201312,3912619,260928
14,69994,284710,4708,3990629,3965541,248286
15,51974,282938,4582,3263482,4915577,249549
16,66870,296463,4460,3275970,3950710,1058531
