i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,495898,1182714,21161,14102595,10553827,568409
2,163610,1143487,28760,13163524,10238051,516553
3,175014,1146039,30423,14599094,7493050,535273
4,174764,2352142,19613,14587065,7574749,520446
5,167868,1144108,28406,12975378,10188082,526824
6,154224,1134757,28674,12913164,10152835,541765
7,175683,1141331,28577,14910529,7494268,550088
8,174152,1142626,28427,14026736,9907973,515510
9,154876,1149224,28017,12787460,10130133,523908
10,173390,1148237,29647,15192890,7540963,550344
11,175162,1135871,32401,13987860,7559144,2677279
12,156088,1141321,32749,12778050,10103163,513937
13,154438,1158293,28548,12783178,10158832,536271
14,175101,1159225,29068,13752958,7464643,540597
15,173197,3515629,19966,14862668,7565254,569620
16,153996,1128889,18042,12935403,10170168,532967
17,178540,1153846,30256,15327655,7886535,573727
18,174790,1137915,28306,14501858,7567266,519245
