i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,197666,1390488,29684,28613517,7856924,503517
2,589396,1495611,27225,23872090,15588118,480685
3,139635,1040956,16226,11303163,9975887,491686
4,139568,946251,15479,11220292,9874939,493125
5,148154,1735914,14031,13605946,7579478,495528
6,150171,1480504,17067,14147685,7317652,489201
7,150880,1480414,15389,13828508,7330247,501478
8,158733,3311069,16968,13636481,7371278,492342
9,137160,958723,15929,11043416,9689863,487933
10,136148,955885,15181,11013623,9758275,499805
11,148950,1568914,16550,13408700,7337071,512701
12,156951,1501632,32505,13711074,7348562,473936
13,154188,1492209,28043,13679822,7354645,483331
