i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,2650492,2224934,47370,27919516,15187562,861582
2,4156453,2212357,45348,26008983,14820800,838172
3,302399,2239229,35614,25566945,14806610,878757
4,305272,2211100,45333,25360707,14879975,860079
5,308430,2200888,44765,25452619,14926075,852342
6,310244,2170565,43072,25190196,14768421,822742
7,318828,2266813,50722,27745500,12213434,818527
8,312902,2258671,49617,27746760,12210728,832055
9,321791,2254962,45282,27831567,12207605,801716
10,312395,2243347,47235,27691611,12363064,801885
11,321150,2262718,50078,27750773,12130521,793081
