i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,273545,2170641,17664,11265348,15596870,552473
2,196198,2101780,13690,11761913,14264742,460115
3,177536,2093177,13006,10927109,14053040,463195
4,175128,2062132,13132,10882795,14047767,452237
5,177473,2072109,13482,10870085,13983200,445601
6,177480,2094728,13997,10844848,14657306,471856
7,178128,2082813,13836,11026525,14034755,458767
8,180688,2169062,14140,10917674,14837480,550394
9,177222,2081189,13163,10971968,14093556,456607
10,175190,2082982,13832,10785083,14071088,459125
11,176326,2071854,14051,10797807,14250302,453005
12,176431,2084695,13600,10863644,13945387,452410
13,176375,2080798,13342,10788742,13943734,449419
14,176714,2082366,13722,10780953,13956023,452512
15,176606,2090836,13821,10791562,14034852,466406
16,175057,2077677,14205,10804317,13950319,461616
