i,sstep,lambdastep,gammastep,wstep,loss
1,465229559,192555777,6030012889,171731189,658466
2,686084568,3420568193,6950698894,157032691,617476
3,671248335,3187004671,7075165514,163551316,608796
4,733049884,3276942958,6914629445,171559727,603551
5,628560704,3055433241,6967368442,162572279,599357
6,635289064,3442651456,6903612310,164657890,695237
7,682350547,3267813802,7094127062,162811131,616173
8,750553967,3766632961,6926498259,163893380,650534
9,706994149,3268943071,6925653724,161186861,613263
10,755978688,3161475558,6911409695,167072154,597233
11,734072954,3200095052,6928660337,158328311,580158
12,691273019,3073303365,6929309177,158469946,607832
13,614453123,3365979341,6964109105,159750790,600922
