i,sstep,lambdastep,gammastep,wstep,loss
1,676841519,214206361,12134510795,252865857,832892
2,3143528997,8117067311,14110229541,237733215,801404
3,3197683875,8907025130,13985573238,256871928,830017
4,3030288290,6567311912,14055556169,255480460,811829
5,3240903345,3650633536,12794800389,255175548,817913
6,2914421270,2570473236,12842229072,261977320,815280
7,2981319279,2548939669,12899319537,240046672,827675
8,3299718934,2546879381,12879061640,253284944,810714
9,3096030237,2559441801,12872166199,246959932,804978
10,3073208261,2580370978,12755274986,239252243,834353
