i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,824944,3428002,31605,35554912,15550327,570733
2,1293259,2492799,27817,14807472,15492731,547800
3,375176,2480789,16865,15051066,13725090,551647
4,218821,2603103,32566,13941654,14052793,1140033
5,160776,3038928,28066,12857353,14124037,521155
6,202943,2556969,17979,13961443,13420710,536251
7,219844,2635179,30198,13688224,14011240,527920
8,217087,3178445,29508,13828635,14571497,539811
9,160743,2566048,16659,13137863,15205576,547825
10,213533,2569984,27241,14686581,13600041,515594
11,217980,2638674,28774,13652005,13985667,544672
12,207334,3138723,31673,13422306,14103846,537398
13,201140,2574970,16816,14133904,13410079,531063
14,212288,2633595,33401,13651189,13869160,526258
15,209031,3197218,28923,13789171,14676801,539438
