i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,2858330,4997476,57259,32779764,25561881,828874
2,3480094,5063415,45151,27374977,26409899,1670421
3,286116,4993276,54975,27939122,24973065,814321
4,360987,4986683,43197,26270372,26060298,824761
5,367889,5785170,44437,25825070,26594649,826275
6,326263,4897119,42677,27289672,25182645,813463
7,353598,4948441,43234,26693717,26183940,1549798
8,291450,5711670,46090,27560598,24056359,792438
9,347052,4962487,43400,26287574,26062292,791109
10,368239,5792710,44853,25837521,27192116,839737
11,320503,4892412,43037,27132077,25098052,807192
12,349484,4941928,44909,26666912,25652688,810892
13,371486,5757504,45684,28453351,24096891,780511
14,335752,4917369,42189,26324081,25945347,793125
15,366778,5804666,43441,25859695,26561044,812296
16,312040,4905727,42069,27098238,25072289,812017
17,350370,4921942,43607,26798772,25625345,802447
18,373021,5730860,56795,28614549,24043285,776607
19,329584,4901346,42501,26382260,25883728,780167
