i,sstep,lambdastep,gammastep,wstep,loss
1,750804105,221762942,12158575857,246470978,819222
2,3559602238,15109780256,12857504882,437338535,922222
3,3782868433,1171509076934,13141596176,247470343,880885
4,3671708618,10894948341,12817019925,271458173,879250
5,3447916588,13617618490,12816998037,264116902,886444
6,3619039003,2337554349,11804363053,288036763,893036
7,3619086247,2040830289,12393352578,255268978,910374
8,3654294573,2020393569,12472411932,245618469,877384
9,3472061700,1999284957,12385777931,272848940,878344
10,3386885050,2012913487,12419066262,269018275,911649
