i,sstep,lambdastep,gammastep,wstep,loss
1,436215221,190619316,4712968412,149150471,567151
2,430656661,1868367760,5009222431,182538957,542255
3,382092980,1737735221,4788936121,145243292,557773
4,380115498,1586131672,4707829517,169450859,558951
5,320991550,1444197105,4898724201,145954992,547954
6,317894824,1522032051,4709322843,172231828,554723
7,344006424,1338241979,4892931246,147919800,538792
8,315513499,1627016482,4697483723,176012957,546188
9,352740025,1387858113,4905945736,157835184,538926
10,324150803,1616133129,4843237726,180406893,561094
11,350553360,1403751142,4751824713,151373336,547735
12,294874472,1605703915,4892617364,183846013,585303
